ID,Name,Review Count,Ratings,Category
175,Aram's No 2 Pizza And Subs,0,4.0,Restaurant
176,Aramark Corporation,0,4.0,Restaurant
177,Arboretum Grill,0,4.0,Restaurant
178,Arboretum Pizza Grill,77,3.0,Restaurant
179,Archie's New York Deli,0,4.0,Restaurant
180,Area Four,1041,4.0,Restaurant
181,Ariana Restaurant,215,4.23,Restaurant
182,Arizona Barbeque,0,4.0,Restaurant
183,Arlington Bakery,0,4.0,Restaurant
184,Arlington House Of Pizza,0,4.0,Restaurant
185,Arlington Restaurant And Diner,0,4.0,Restaurant
186,Armando's Pizza And Subs,99,4.0,Restaurant
187,Arow Express,0,4.0,Restaurant
188,Art Bar,0,4.0,Restaurant
189,Art Bar Cambridge,248,3.5,Restaurant
190,Art Royal Pizza,0,4.0,Restaurant
191,Arthur's Pastry Shop,0,4.0,Restaurant
192,Article 24,315,4.0,Restaurant
193,Arts At The Armory Cafe,0,4.0,Restaurant
194,Artu,0,4.0,Restaurant
195,Ashmont Grill,0,4.0,Restaurant
196,Ashmont Market And Liquor,28,4.0,Restaurant
197,Ashur Restaurant,61,4.0,Restaurant
198,Asia Gourmet,0,4.0,Restaurant
199,Asia Wok,0,4.0,Restaurant
200,Asian House,0,4.0,Restaurant
201,Asian Taste,0,4.0,Restaurant
202,Asian Thai Restaurant,22,3.5,Restaurant
203,Asmara Restaurant,377,4.0,Restaurant
204,Aspasia,0,4.0,Restaurant
205,Athan's Bakery,0,4.0,Restaurant
206,Atlantic Fish,3003,4.0,Restaurant
207,Atlantic Fish Co.,0,4.0,Restaurant
208,Atlantic Seafood Restaurant,12,3.5,Restaurant
209,Atlas Kabeb And Grill,10,4.0,Restaurant
210,Atlntico,28,3.81,Restaurant
211,Atomic Cafe,0,4.0,Restaurant
212,Atrium Snack Bar,0,4.0,Restaurant
213,Atwoods Tavern,0,4.0,Restaurant
214,Au Beurre Chaud Bakery,0,4.0,Restaurant
215,Au Bon Pain,0,4.0,Restaurant
216,Audubon Boston,236,4.0,Restaurant
217,Auntie Anne's,0,4.0,Restaurant
218,Auntie Vie S Bake,0,4.0,Restaurant
219,Auntie Vie's Bakery Cafe,0,4.0,Restaurant
220,Auntie Vie's Restaurant,13,4.0,Restaurant
221,Aura Restaurant,0,4.0,Restaurant
222,Auto Grill,0,4.0,Restaurant
223,Avalon,0,4.0,Restaurant
224,Avellino's Restaurant And Catering,0,4.0,Restaurant
225,Avenue Deli,4,5.0,Restaurant
226,Avenue Deli Watertown,0,4.0,Restaurant
227,Avenue Kitchen + Bar,126,4.5,Restaurant
228,Avis Budget Group,1,2.0,Car Rental
229,Avis Car Rental,20,1.96,Car Rental
230,Azama Grill,0,4.0,Restaurant
231,Azul@88,0,0.0,Restaurant
232,Azulat88,0,4.0,Restaurant
233,B.GOOD,125,3.0,Restaurant
234,B.Good,0,4.0,Restaurant
235,B2 Cafe,15,4.67,Restaurant
236,BAB KOREAN BISTRO,143,4.0,Restaurant
237,BAB KOREAN BISTRO - MALDEN,26,4.0,Restaurant
238,BANNERS KITCHEN AND TAP,0,4.0,Restaurant
239,BARRA,43,3.5,Restaurant
240,BBQ SMOKEHOUSE,0,4.0,Restaurant
241,BILLY's TEXAS BBQ,0,4.0,Restaurant
242,BLUE RIBBON BBQ,700,4.0,Restaurant
243,BOS SICHUAN TASTE,14,4.5,Restaurant
244,BY CHLOE,0,4.0,Restaurant
245,Ba Le Cafe Field Corner,0,4.0,Restaurant
246,Ba Le Restaurant,0,4.0,Restaurant
247,Bab Alyemen Boston Restaurant,54,4.45,Restaurant
248,Babushka Deli,0,4.0,Restaurant
249,Bachata Rosa,3,3.7,Restaurant
250,Back Alley Bacon,10,4.5,Restaurant
251,Back Bay Social,778,3.5,Restaurant
252,Back Bay Social Club,0,4.0,Restaurant
253,Backbar,0,4.0,Restaurant
254,Backstreet Bar And Grill,0,4.0,Restaurant
255,Bagel Bin Deli,0,4.0,Restaurant
256,Bagel World Ii Bakery And Deli,168,3.62,Restaurant
257,Bagelsaurus,0,4.0,Restaurant
258,Bait To Plate,0,4.0,Restaurant
259,Bakes And Cakes,7,4.5,Restaurant
260,Bakey,0,4.0,Restaurant
261,Balamao,8,5.0,Restaurant
262,Baldini's,0,4.0,Restaurant
263,Bale Bakery,0,4.0,Restaurant
264,Bale Vietnamese Bakery,0,4.0,Restaurant
265,Ball Square,0,4.0,Restaurant
266,Ball Square Cafe,1226,4.5,Restaurant
267,Ball Square Cafe And Breakfast,0,4.0,Restaurant
268,Ball Square Pizzeria,0,4.0,Restaurant
269,Baltic Deli And Cafe,26,4.0,Restaurant
270,Bambara,141,3.79,Restaurant
