ID,Station Name,Latitude,Longitude,Number of Bikes
223,Cambridge St at Joy St,42.36125722,-71.06528744,15
224,Magoun Square at Trum Field,42.3977834,-71.10594004,14
225,Landmark Center - Brookline Ave at Park Dr,42.34369056,-71.10235287,15
226,The Overlook at St. Gabriel's,42.34679008,-71.14549814,18
227,Boylston St at Massachusetts Ave,42.34740621,-71.08678415,15
228,7 Acre Park,42.41143223,-71.06823265,15
229,Government Center - Cambridge St at Court St,42.3598254,-71.05979576,35
230,Coolidge Sq.,42.37207611,-71.15683131,12
231,Watertown Sq,42.36526032,-71.18573324,15
232,Graham and Parks School – Linnaean St at Walker St,42.3829443,-71.12449831,19
233,Smith Pl at Wilson Rd,42.39239749,-71.15058332,19
234,Gove St at Orleans St,42.37057753,-71.0355854,19
235,MIT Hayward St at Amherst St,42.36085937,-71.08551858,27
236,Arsenal Yards,42.36277389,-71.15764854,15
237,Swan St. Park,42.41250451,-71.05842225,15
238,Wasgott Playground,42.40933007,-71.06381878,15
239,Galileo Galilei Way at Main Street,42.36300378,-71.08974038,19
240,Thorndike Field at Minuteman Bikeway,42.40016805,-71.14456963,11
241,Kearins Playground,42.40616124,-71.06041655,11
242,MIT Carleton St at Amherst St,42.36054174,-71.08669817,27
243,Revere City Hall,42.40741,-71.0139,11
244,Revere Public Library,42.408088,-71.008942,11
245,Community Path at Lowell St,42.392525,-71.105587,19
246,Day Sq,42.379295,-71.027733,16
247,Martha Eliot Health Center,42.324173,-71.10196,16
248,Blue Hill Ave at Havelock St,42.286012,-71.090986,18
249,Harrison Ave at E. Dedham St,42.339194,-71.06975,19
250,Harvard Stadium: N. Harvard St at Soldiers Field Rd,42.368019,-71.1242,15
251,2 Hummingbird Lane at Olmsted Green,42.28887,-71.095003,17
252,Innovation Lab - 125 Western Ave at Batten Way,42.36371276,-71.12459779,19
253,160 Arsenal,42.36466403,-71.17569387,11
254,Cary Square,42.39813565,-71.03070972,12
255,Chelsea Square,42.39022671,-71.03857018,11
256,Broadway at Gerrish Ave,42.39453079,-71.03085594,11
257,Chelsea Station,42.39636528,-71.03987179,11
258,855 Broadway,42.39841773,-71.02390923,11
259,Nichols Ave. at Watertown Greenway,42.36762049,-71.15656637,12
260,JFK Crossing at Harvard St. / Thorndike St.,42.34655124,-71.12833211,15
261,Cypress St at Clark Playground,42.32784317,-71.12536222,15
262,Linwood St at Minuteman Bikeway,42.40935396,-71.14906519,11
263,Conway Park - Somerville Avenue,42.38363895,-71.10853672,23
264,Bellingham Square,42.39319611,-71.0334456,11
265,Inman Square at Springfield St.,42.37426714,-71.10026479,25
266,Union Square East,42.380078,-71.090098,19
267,955 Mass Ave,42.36895181,-71.1099878,19
268,Salem MBTA - Washington at Federal St,42.52345239,-70.89611113,13
269,Mayor Salvo Path at Mill St,42.5180352,-70.89570075,11
270,Shetland Park - Congress at Peabody St,42.51836788,-70.88952363,11
271,Lafayette at Leach St,42.51142784,-70.89183301,11
272,Salem State University - Bike Path at Loring Ave,42.50182399,-70.89478076,15
273,One Beacon St,42.35847764,-71.0613513,16
274,Foley St at Grand Union Blvd,42.3930184,-71.08071685,19
275,Vassal Lane at Tobin/VLUS,42.38536765,-71.13775671,19
276,Harvard St and Stedman St,42.34435176,-71.12490356,15
277,High St at Cypress St,42.32464511,-71.12135231,15
278,Concord Ave at Spinelli Place,42.390719,-71.1538877,19
279,Danehy Park at New Street,42.389456,-71.139019,19
280,Clinton St at North St,42.36070284,-71.05524927,18
281,Circuit Drive at American Legion Hwy,42.29704126,-71.09171927,19
282,Walnut Ave at School St,42.31242399,-71.09616905,19
283,Sumner St at Shirley Ave,42.40833706,-70.99804848,11
284,Orr Sq (Shirley Ave),42.40715656,-70.9927243,11
285,Old Morse Park at Putnam Ave,42.35766248,-71.10841334,15
286,Morton St at Gallivan Blvd,42.278747,-71.080286,15
287,Cleary Sq,42.2556,-71.12444,16
288,606 American Legion Hwy at Canterbury St,42.28578,-71.109725,18
289,555 Metropolitan Ave,42.2681,-71.11924,18
290,Valenti Way at Haverhill St,42.36473899,-71.05934903,24
291,Somerville High School & Central Library,42.3864,-71.09601,17
292,Marion St at Harvard St,42.34012243,-71.12070564,15
293,Cambridge Crossing at North First Street,42.371141,-71.076198,23
294,Nashua Street at Red Auerbach Way,42.365673,-71.064263,36
295,Forsyth St at Huntington Ave,42.339202,-71.090511,15
296,Railroad Lot and Minuteman Bikeway,42.41606457,-71.15336637,11
297,Rogers St & Land Blvd,42.36644674,-71.07654601,19
298,Hyde Park Library,42.2568376,-71.122509,15
299,Harvard Square at Brattle St / Eliot St,42.3733288,-71.12098601,15
300,Ross Playground,42.2645666,-71.1145523,19
301,Galileo Galilei Way at Fulkerson St/Binney St,42.3664204,-71.0885418,19
302,Aquarium T Stop - 200 Atlantic Ave,42.35991176,-71.05142981,23
303,Fan Pier,42.35339051,-71.0445714,15
304,Lewis Wharf at Atlantic Ave,42.363871,-71.050877,19
305,Seaport Square - Seaport Blvd at Northern Ave,42.35148193,-71.04436085,23
306,Surface Rd at India St,42.358155,-71.052163,19
307,Rowes Wharf at Atlantic Ave,42.357143,-71.050699,14
308,ID Building West,42.344796,-71.031614,19
309,ID Building East,42.344827,-71.028664,17
310,The Eddy - New St at Sumner St,42.370744,-71.044201,15
311,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,42.351586,-71.04569256,15
312,Porzio Park,42.36411904,-71.02876782,17
313,645 Summer St,42.34178089,-71.03987017,19
314,Congress St at Northern Ave,42.3481,-71.03764,13
315,St. Alphonsus St at Tremont St,42.33329255,-71.10124648,17
316,West End Park,42.36590788,-71.06446669,35
317,Pier 4 Blvd at Autumn Ln,42.3502102,-71.0446705,19
318,Flat 9 at Whittier,42.33420351,-71.08767617,15
319,Roseland St At Dorchester Ave,42.29116853,-71.0630089,12
320,Hawthorne Boulevard,42.5223714,-70.8903331,9
321,Silber Way,42.349496,-71.10057592,19
322,Child Street at Brian P. Murphy Staircase,42.37197678,-71.07200496,23
323,Union Square - Somerville,42.3796479,-71.09540476,19
324,Tremont St at Northampton St,42.3384318,-71.0816905,19
325,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.36707407,-71.07679278,15
326,Raymond Park at Walden St,42.38736954,-71.12761001,19
327,Wellington MBTA,42.4023682,-71.07573182,19
328,Main Street/Albany Street/Technology Square,42.3629016,-71.0915669,23
329,Gilman Square T at Medford St,42.3867355,-71.0946444,19
330,Shawmut Ave at Lenox St,42.33584613,-71.08038157,19
331,Hood Park,42.38004535,-71.07304573,23
332,Salem State University - North Campus,42.503332,-70.891444,11
333,Essex St at Dalton Parkway,42.516223,-70.905535,11
334,Forest River Park,42.506395,-70.88693,11
335,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36923907,-71.11687034,21
336,Salem MBTA - Lower Level,42.523994,-70.89684,11
337,Community Life Center,42.520136,-70.906271,9
338,Goodhue St at Grove St,42.520897,-70.910528,11
339,Tappan St at Brookline Hills MBTA,42.33137017,-71.12688361,15
