Name,Review Count,Ratings,Bike Station Id,Category
Tres Gatos,569,4.0,6,"['tapas', 'wine_bars', 'vinyl_records']"
Young Kong Restaurant,44,3.0,6,['chinese']
Latino Restaurant,40,3.5,6,"['latin', 'dominican']"
Yely's Coffee Shop,48,3.5,6,"['latin', 'coffee']"
Tavern of Tales,30,4.5,6,"['bars', 'sandwiches']"
Mike & Patty’s,16,4.0,6,['breakfast_brunch']
Ashur Restaurant,61,4.0,6,"['halal', 'african', 'somali']"
Fort Hill Bar & Grill,27,3.0,6,"['bars', 'latin', 'burgers']"
Cappy's Pizza & Subs,50,3.0,6,['pizza']
The Nu Do' Society,73,4.5,7,['panasian']
Alive & Kicking Lobsters,948,4.5,7,"['seafood', 'sandwiches']"
Paperback Tavern,4,4.5,7,['tradamerican']
Little Donkey,934,4.0,7,"['tapasmallplates', 'bars', 'seafood']"
Basta Pasta Trattoria,494,4.0,7,"['italian', 'pizza']"
Happy Lamb Hot Pot,441,4.0,7,"['hotpot', 'chinese', 'asianfusion']"
Brookline Lunch,581,4.0,7,"['diners', 'mideastern', 'breakfast_brunch']"
Pai Kin Kao,81,4.0,7,"['asianfusion', 'thai', 'japanese']"
Pammy's,384,4.5,7,"['italian', 'newamerican']"
Viale,311,4.0,7,"['italian', 'bars', 'tapasmallplates']"
Clover Food Lab,203,4.0,7,"['cafes', 'sandwiches', 'newamerican']"
Surya Indian Kitchen,174,4.0,7,"['indpak', 'fooddeliveryservices']"
The Coast Cafe,399,4.0,7,"['soulfood', 'bbq']"
Flour Bakery + Cafe,65,4.0,7,"['bakeries', 'sandwiches', 'desserts']"
Riverside Pizza & Seafoods,88,4.0,7,"['pizza', 'seafood', 'burgers']"
Dimi's Place,104,4.0,7,"['pizza', 'cafes', 'mediterranean']"
Si Cara,54,4.0,7,"['pizza', 'wine_bars', 'tapasmallplates']"
5 spices house cambridge,107,4.0,7,['szechuan']
Oleana Restaurant,1738,4.5,7,['mediterranean']
Rangzen Tibetan Place,424,4.0,7,['asianfusion']
The Pearl,116,3.5,8,"['seafood', 'cocktailbars']"
110 Grill,104,3.5,8,"['newamerican', 'tradamerican', 'gluten_free']"
Casa Bonita Mexican Grill,3,3.5,8,['mexican']
Gyu-Kaku Japanese BBQ,239,4.0,8,"['japanese', 'bbq', 'asianfusion']"
Liberty Diner,25,4.5,8,['diners']
Totto Ramen,76,4.0,8,['ramen']
