Name,Bike Station Id,Category
Restaurante Montecristo,4,"['Latin American Restaurant', 'Mexican Restaurant']"
Casa Colombia,4,"['Bakery', 'Café', 'Colombian Restaurant']"
Punto Rojo,4,"['Latin American Restaurant', 'Mexican Restaurant', 'Spanish Restaurant']"
Harbor Pacific,4,"['Chinese Restaurant', 'Seafood Restaurant']"
Pizza Shuttle,4,['Pizzeria']
La Casa Del Pandebono,4,['Salvadoran Restaurant']
Cafe Meridian,4,"['Café', 'Restaurant']"
ReelHouse,4,"['American Restaurant', 'Seafood Restaurant']"
East Boston House Of Pizza,4,['Pizzeria']
Nfarra2,4,"['Dive Bar', 'Mexican Restaurant']"
Legal Sea Foods,4,['Restaurant']
Crown Fried Chicken,4,['Fast Food Restaurant']
Toasted Flats,4,"['Coffee Shop', 'Sandwich Restaurant']"
Latinos Restaurant,4,"['Latin American Restaurant', 'Mexican Restaurant']"
Pazza On Porter,4,"['Cocktail Bar', 'Lounge', 'Italian Restaurant']"
Via Veneto Restaurant,4,['Italian Restaurant']
El Penol,4,"['Latin American Restaurant', 'Peruvian Restaurant']"
Papagayo,4,"['Latin American Restaurant', 'Mexican Restaurant']"
Los Arrieros,4,"['Latin American Restaurant', 'Mexican Restaurant']"
D'Parma East Boston,4,['Italian Restaurant']
La Cancun,4,"['Fast Food Restaurant', 'Latin American Restaurant', 'Mexican Restaurant']"
Saigon Hut,4,['Vietnamese Restaurant']
Pollos A La Brasa Betos,4,"['Latin American Restaurant', 'Mexican Restaurant', 'Peruvian Restaurant']"
Santarpio's Pizza,4,['Pizzeria']
Hong Kong Harbor Restaurant,4,['Chinese Restaurant']
Cafeteria La Reina,4,['Mexican Restaurant']
La Reina Cafeteria,4,['Restaurant']
Los Pinos Mexican Restaurant & Grill,4,['Mexican Restaurant']
Pueblo Viejo Mexican Grill,4,"['Bar', 'Latin American Restaurant', 'Mexican Restaurant']"
Kelley Square Pub,4,"['Pub', 'Pizzeria', 'American Restaurant']"
Roy's Cold Cuts,4,"['Deli', 'Fast Food Restaurant', 'Sandwich Restaurant']"
Canton Eatery,4,['Chinese Restaurant']
Mi Pueblito Restaurant,4,"['Latin American Restaurant', 'Mexican Restaurant']"
Evergreen Eatery,5,"['Coffee Shop', 'American Restaurant']"
Fill Belly's,5,['Restaurant']
Santia's Bakery,5,"['Bakery', 'Dessert Shop', 'Restaurant']"
Ruggiero's Market,5,"['Fast Food Restaurant', 'Sandwich Restaurant', 'Soup Restaurant']"
El Embajador Restaurant,5,"['Caribbean Restaurant', 'Latin American Restaurant', 'Mexican Restaurant']"
Midway Cafe,5,"['Rock Club', 'Karaoke Bar', 'Mexican Restaurant']"
Burritos Pizzeria,5,"['Mexican Restaurant', 'Pizzeria']"
The Haven,5,['Scottish Restaurant']
Ula Cafe,5,"['Coffee Shop', 'American Restaurant', 'Sandwich Restaurant']"
Milky Way Lounge & Lanes,5,"['Bar', 'Italian Restaurant']"
JP Kitchen,5,['Chinese Restaurant']
MR Tamole,5,['Mexican Restaurant']
Samuel Adams Brewery,5,"['Brewery', 'Restaurant']"
City Feed on Centre,5,['Vegan and Vegetarian Restaurant']
Galway House,5,"['Pub', 'American Restaurant', 'Italian Restaurant']"
City Feed And Supply,5,"['Café', 'Deli', 'Sandwich Restaurant']"
100% Delicias Express,5,['Caribbean Restaurant']
Noodle Barn,5,"['Asian Restaurant', 'Noodle Restaurant', 'Thai Restaurant']"
Casa Verde,5,['Taco Restaurant']
Same Old Place,5,"['Pizzeria', 'Italian Restaurant']"
JP Seafood Cafe,5,['Restaurant']
Centre Street Cafe,5,['Restaurant']
Casa Verde Taqueria,5,['Restaurant']
The Real Deal,5,['Restaurant']
Costello's Tavern,5,"['Sports Bar', 'American Restaurant']"
Chilacates,5,"['Latin American Restaurant', 'Mexican Restaurant']"
Caffè Nero,5,"['Café', 'Coffee Shop', 'Restaurant']"
J.P. Licks,5,"['Burger Joint', 'Ice Cream Parlor', 'Kosher Restaurant']"
Little Dipper,5,"['Burger Joint', 'Diner', 'American Restaurant']"
Tea Bar by EvyTea,5,['Restaurant']
Vee Vee,5,['American Restaurant']
Soul Fusion Cafe & Catering,5,"['BBQ Joint', 'Burger Joint', 'Diner']"
Super Fusion IV,5,['Chinese Restaurant']
Soup Shack,5,"['Ramen Restaurant', 'Thai Restaurant', 'Vietnamese Restaurant']"
Pikalox,5,['Caribbean Restaurant']
Pin Bochinche Restaurant,5,"['Diner', 'Cuban Restaurant', 'Indian Restaurant']"
D & D Restaurant,5,"['Latin American Restaurant', 'South American Restaurant']"
When Pigs Fly,5,"['Bakery', 'American Restaurant']"
