Station Name,Latitude,Longitude,Number of Bikes,Station ID,Number of Restaurants,Number of Rentals,Average Restaurant Rating,Average Rental Rating
Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,15,e7bf3cb1dd05da389680f35f83927905,61,14,4.105263157894737,2.1785714285714284
Commonwealth Ave At Babcock St,42.35154734791375,-71.12126246094704,15,e00981ae2721bdc7339d4ee00759f650,66,10,4.15625,1.95
Colleges of the Fenway - Fenway at Avenue Louis Pasteur,42.34011512249236,-71.10061883926392,14,c039b478f4cd30b69758596ddcfd5cf5,66,7,4.03125,2.0
Columbia Rd at Tierney Community Center,42.33023070528729,-71.05060093123029,19,65ee88e1ea2b01d7775f2391eb81252a,61,3,3.9285714285714284,2.0
Harrison Ave at Mullins Way,42.34521562115022,-71.0638403149278,19,8338b27741423582af34a18d4caa047f,64,15,4.2105263157894735,2.1666666666666665
Bartlett St at John Elliot Sq,42.3294633,-71.0901582,15,cfc97a94fde7ba82fdc7d86d41fbb4cf,58,2,3.9583333333333335,2.0
Deerfield St at Commonwealth Ave,42.34924376955301,-71.09728209692548,19,70c72c7cb0115d461f7b3fac84e00f2a,63,7,4.0,2.0
Mass Ave at Albany St,42.36135837662249,-71.09670273977825,18,adb1a2a0b419c7f51c67f19721233a47,57,9,3.95,2.3333333333333335
700 Huron Ave,42.380788172914286,-71.15412890911102,19,7bf7006cdf4a8afa8ad2b6948413ef6a,30,2,3.8333333333333335,2.0
Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,17,066efb58cb770f3d708a4f83a11fb374,64,13,4.088235294117647,2.0384615384615383
Albany St at E. Brookline St,42.33664795427071,-71.0689445958451,15,54064f3ff5f1d3c559d1a622464d208f,60,9,4.125,2.0
Sennott Park Broadway at Norfolk Street,42.36860524248197,-71.09930185605663,19,ac4c23b42cd05aa1ac939cfccb4e1340,59,15,4.083333333333333,2.2
Powder House Circle - Nathan Tufts Park,42.400877,-71.116772,14,ad43939d620ef225d35eafdb9ef9a29d,62,5,4.235294117647059,1.8
Davis Square,42.396969,-71.123024,25,8826fb6a8e69e2fd45f22d8ee1c1a8de,65,5,4.125,1.8
Ames St at Main St,42.3625,-71.08822,19,d5d8f74a35cbfb15b544ff984c9f2307,56,9,3.8823529411764706,2.0
Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,19,ad81792b682543ed97bf3188819c0b81,62,10,4.15625,1.95
Lower Cambridgeport at Magazine St / Riverside Rd,42.357218503176526,-71.1138716340065,19,94ce3435b4ade8bcc9585e0887771ef5,54,10,3.9705882352941178,2.25
Washington St at Rutland St,42.338514601786,-71.07404083013535,27,05f50b281104f880804e0111662fecf8,63,9,4.235294117647059,2.0555555555555554
Kenmore Square,42.348706,-71.097009,26,da1dc98bb8c74306eca078f7dac261a7,63,8,4.0,2.0
Seaport Hotel - Congress St at Seaport Ln,42.34881026188269,-71.04167744055303,19,a19e611442a8933b8f82774ce3966ace,58,6,4.03125,1.9166666666666667
