ID,Station Name,Latitude,Longitude,Number of Bikes
124,Roxbury YMCA - Warren St at MLK Blvd,42.31787329345602,-71.08243077993393,10
125,Verizon Innovation Hub 10 Ware Street,42.37250864997261,-71.11305356025696,19
126,Third at Binney,42.36544486137399,-71.08277142047882,15
127,Warren St at Chelsea St,42.371848,-71.060292,23
128,Broadway at Lynde St,42.39648358247693,-71.06546759905541,15
129,Edwards Playground - Main St at Eden St,42.378965,-71.068607,19
130,One Memorial Drive,42.361619320766856,-71.0804355052096,19
131,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,19
132,JFK/UMass T Stop,42.32033973515723,-71.05118036270142,15
133,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,15
134,Main St at Austin St,42.375603,-71.064608,11
135,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,19
136,Longwood Ave at Binney St,42.338629,-71.1065,15
137,B.U. Central - 725 Comm. Ave.,42.350406,-71.108279,11
138,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624444796878,-71.08798563480377,26
139,Brighton Mills - 370 Western Ave,42.3615457081725,-71.13776206970215,15
140,HMS/HSPH - Avenue Louis Pasteur at Longwood Ave,42.3374174845973,-71.10286116600037,25
141,Soldiers Field Park - 111 Western Ave,42.36426344063853,-71.1182756971175,15
142,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,18
143,Park Dr at Buswell St,42.347241,-71.105301,15
144,Shawmut T Stop,42.292917,-71.06575,19
145,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,23
146,Broadway at Beacham St,42.39836059620832,-71.06373842814719,15
147,State Street at Channel Center,42.344137,-71.052608,19
148,Ink Block - Harrison Ave at Herald St,42.345901,-71.063187,27
149,Chelsea St at Vine St,42.40328056972533,-71.04762639859473,15
150,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,15
151,S Huntington Ave at Heath St,42.32760387040573,-71.11089169979095,15
152,Lansdowne T Stop,42.34734473177431,-71.1001680795016,27
153,Broadway at Maple St,42.410346909767846,-71.05260457852637,13
154,Community Path at Cedar Street,42.39407223665884,-71.11133694648743,15
155,Williams St at Washington St,42.306539,-71.107669,23
156,Broadway at Central St,42.39517150121575,-71.09850591982195,19
157,East Somerville Library (Broadway and Illinois),42.3876281075134,-71.08318716287613,15
158,Assembly Square T,42.39223284004628,-71.07746601104736,15
159,Shawmut Ave at Oak St W,42.34854543411198,-71.06559185315746,15
160,Four Corners - 157 Washington St,42.30412792739016,-71.07929527759552,11
161,Fresh Pond Reservation,42.38267827521855,-71.143478951426,17
162,Main St at Baldwin St,42.380857,-71.070629,19
163,Stuart St at Charles St,42.351146,-71.066289,15
164,Christian Science Plaza - Massachusetts Ave at Westland Ave,42.3436658245146,-71.08582377433777,19
165,Packard's Corner - Commonwealth Ave at Brighton Ave,42.352261,-71.123831,27
166,Main St at Thompson Sq,42.374878467440965,-71.06383498767171,15
167,Commonwealth Ave at Agganis Way,42.35169201885973,-71.11903488636017,15
168,Grove St at Community Path,42.396386809455,-71.12011306006025,15
169,Murphy Skating Rink - 1880 Day Blvd,42.336448,-71.023739,19
170,Washington St at Melnea Cass Blvd,42.332817,-71.081198,19
171,Rindge Avenue - O'Neill Library,42.392766,-71.129042,19
172,Alewife Station at Russell Field,42.396105,-71.139459,23
173,EF - North Point Park,42.369885,-71.069957,23
174,Danehy Park,42.388966,-71.132788,17
175,Kendall Street,42.36356015842989,-71.08216792345047,17
176,Oak Square - 615 Washington St,42.35057,-71.166491,15
