Name,Bike Station Id,Category
Zipcar Broadway/Ellsworth Ave,40,['Rental Car Location']
Zipcar Somerville Hospital/Crown St,40,['Rental Car Location']
Zipcar Summer St / School St,40,['Rental Car Location']
Hertz Rent A Car,42,['Rental Car Location']
Zipcar Exeter St/Prudential Center Garage,42,['Rental Car Location']
Zipcar,42,['Rental Car Location']
Dollar Rent A Car,42,['Rental Car Location']
Zipcar 100 Clarendon Garage,42,['Rental Car Location']
Budget Car Rental,42,['Rental Car Location']
Avis Rent A Car,42,['Rental Car Location']
Finesse Autos,42,['Rental Car Location']
Enterprise CarShare,42,['Rental Car Location']
Zipcar Prudential,42,['Rental Car Location']
Zipcar Belvidere St/Prudential Center Garage,42,['Rental Car Location']
Alamo,42,['Rental Car Location']
Enterprise Rent-A-Car,42,['Rental Car Location']
Zipcar Park Sq/Motor Mart Garage,42,['Rental Car Location']
Dollar Car Rental,42,['Rental Car Location']
Hertz Sheraton Boston Hotel,42,['Rental Car Location']
Zipcar Huntington Ave/Cumberland,42,['Rental Car Location']
Thrifty Car Rental,42,['Rental Car Location']
National Car Rental,42,['Rental Car Location']
Zipcar,44,['Rental Car Location']
Avis Rent A Car,44,['Rental Car Location']
Budget Car Rental,44,['Rental Car Location']
Zipcar PI Alley Garage,44,['Rental Car Location']
Zipcar Post Office Sq,44,['Rental Car Location']
Zipcar Mass Eye and Ear,44,['Rental Car Location']
Rent A Geek,44,['Rental Car Location']
Budget Rent A Car,44,['Rental Car Location']
Eoc,44,['Rental Car Location']
Zipcar Archstone Boston Common,44,['Rental Car Location']
Enterprise Rent-A-Car,44,['Rental Car Location']
Zipcar Government Center Garage,44,['Rental Car Location']
Alamo,44,['Rental Car Location']
Dollar Rent A Car,44,['Rental Car Location']
Alamo Rent A Car,44,['Rental Car Location']
National Car Rental,44,['Rental Car Location']
Enterprise,44,['Rental Car Location']
Car Trawler,44,['Rental Car Location']
Hertz Rent A Car,44,['Rental Car Location']
Boston Car Rental-1stCar,44,['Rental Car Location']
Thrifty Car Rental,44,['Rental Car Location']
Zipcar Boston Harbor Garage,44,['Rental Car Location']
Zipcar Park Sq/Motor Mart Garage,44,['Rental Car Location']
Dollar Car Rental,44,['Rental Car Location']
Zipcar,45,['Rental Car Location']
U-Save Car & Truck Rental,45,['Rental Car Location']
Zipcar Broadway/Ellery,45,['Rental Car Location']
Zipcar Summer St / School St,45,['Rental Car Location']
Zipcar Broadway/Ellsworth Ave,45,['Rental Car Location']
Hertz Rent A Car,45,['Rental Car Location']
Enterprise Rent-A-Car,45,['Rental Car Location']
Budget Truck Rental,46,['Rental Car Location']
Avis Rent A Car,46,['Rental Car Location']
Budget Rent A Car,46,['Rental Car Location']
Alamo,46,['Rental Car Location']
U-Save Car & Truck Rental,46,['Rental Car Location']
Bestway Auto Rental,46,['Rental Car Location']
Adventure Vehicle Rental,46,['Rental Car Location']
Landbird,46,['Rental Car Location']
Zipcar Chester St,46,['Rental Car Location']
Zipcar,46,['Rental Car Location']
U-Haul Neighborhood Dealer,46,"['Equipment Rental Service', 'Storage Facility', 'Rental Car Location']"
Zipcar Soldier's Field Park - One Western Ave,46,['Rental Car Location']
Budget Truck Rental,47,['Rental Car Location']
U-Haul Neighborhood Dealer,47,"['Equipment Rental Service', 'Storage Facility', 'Rental Car Location']"
Jackson Square Station,47,['Rental Car Location']
Boston Luxury Rental Cars,47,['Rental Car Location']
Zipcar Alewife/CambridgePark,48,['Rental Car Location']
Fresh Pond Storage & Trk Rentl,48,['Rental Car Location']
Enterprise Rent-A-Car,48,['Rental Car Location']
Alamo,48,['Rental Car Location']
Zipcar Cambridge Center East,49,['Rental Car Location']
Enterprise Rent-A-Car,49,['Rental Car Location']
Zipcar Third Square Apartments,49,['Rental Car Location']
Zipcar Kendall Sq/Genzyme,49,['Rental Car Location']
Zipcar,49,['Rental Car Location']
Zipcar Kendall Cinema,49,['Rental Car Location']
U-Haul Moving & Storage,49,"['Equipment Rental Service', 'Storage Facility', 'Rental Car Location']"
Zipcar Cambridgeside Galleria,49,['Rental Car Location']
Zipcar,50,['Rental Car Location']
Zipcar St Marys/Monmouth,50,['Rental Car Location']
Zipcar Bu/766 Comm Ave,50,['Rental Car Location']
Avis Rent A Car,50,['Rental Car Location']
Budget Rent A Car,50,['Rental Car Location']
U-Haul Moving & Storage,50,"['Equipment Rental Service', 'Storage Facility', 'Rental Car Location']"
Enterprise Rent-A-Car,51,['Rental Car Location']
Alamo,51,['Rental Car Location']
Zipcar,51,['Rental Car Location']
Budget Truck Rental,52,['Rental Car Location']
Enterprise CarShare,52,['Rental Car Location']
Jackson Square Station,52,['Rental Car Location']
U-Haul Neighborhood Dealer,52,"['Equipment Rental Service', 'Storage Facility', 'Rental Car Location']"
U-Haul,52,"['Equipment Rental Service', 'Storage Facility', 'Rental Car Location']"
Boston Luxury Rental Cars,52,['Rental Car Location']
Zipcar,53,['Rental Car Location']
Avis Rent A Car,53,['Rental Car Location']
Budget Rent A Car,53,['Rental Car Location']
U-Haul Moving & Storage,53,"['Equipment Rental Service', 'Storage Facility', 'Rental Car Location']"
Alamo,53,['Rental Car Location']
Enterprise Rent-A-Car,53,['Rental Car Location']
Zipcar Harvard Ave,54,['Rental Car Location']
Zipcar,54,['Rental Car Location']
U-Haul,54,"['Equipment Rental Service', 'Storage Facility', 'Rental Car Location']"
U-Haul Moving & Storage,54,"['Equipment Rental Service', 'Storage Facility', 'Rental Car Location']"
Zipcars - Brookline Village Apartments,54,['Rental Car Location']
Enterprise Rent-A-Car,54,['Rental Car Location']
Zipcar Coolidge Cnr/Winchester St,54,['Rental Car Location']
Enterprise Rent-A-Car,55,['Rental Car Location']
Car Trawler,55,['Rental Car Location']
Boston Car Rental-1stCar,55,['Rental Car Location']
Eoc,55,['Rental Car Location']
Zipcar,55,['Rental Car Location']
Avis Rent A Car,55,['Rental Car Location']
Alamo Rent A Car,55,['Rental Car Location']
Zipcar Boston Harbor Garage,55,['Rental Car Location']
National Car Rental,55,['Rental Car Location']
Budget Rent A Car,55,['Rental Car Location']
Zipcar PI Alley Garage,55,['Rental Car Location']
Zipcar Post Office Sq,55,['Rental Car Location']
Budget Car Rental,55,['Rental Car Location']
Zipcar Mass Eye and Ear,55,['Rental Car Location']
Zipcar Archstone Boston Common,55,['Rental Car Location']
Select Car Rental,55,['Rental Car Location']
Alamo,55,['Rental Car Location']
Zipcar Government Center Garage,55,['Rental Car Location']
Alamo,56,['Rental Car Location']
Zipcar Mass Ave/Arlington,56,['Rental Car Location']
Hertz Rent A Car,56,['Rental Car Location']
Zipcar Somerville Hospital/Crown St,56,['Rental Car Location']
Zipcar Davis Sq/Rite Aid,56,['Rental Car Location']
Zipcar Walden St,56,['Rental Car Location']
Zipcar Shepard St,56,['Rental Car Location']
Zipcar,56,['Rental Car Location']
Zipcar Davis Sq/Elm St,56,['Rental Car Location']
Zipcar,57,['Rental Car Location']
Zipcar Third Square Apartments,57,['Rental Car Location']
Zipcar Kendall Cinema,57,['Rental Car Location']
Zipcar Kendall Sq/Genzyme,57,['Rental Car Location']
Enterprise Rent-A-Car,57,['Rental Car Location']
Zipcar Cambridge Center East,57,['Rental Car Location']
Zipcar Cambridgeside Galleria,57,['Rental Car Location']
Alamo,57,['Rental Car Location']
RelayRides,57,['Rental Car Location']
Zipcar Shepard St,58,['Rental Car Location']
Zipcar 33 Concord Ave,58,['Rental Car Location']
Zipcar Episcopal Divinity School,58,['Rental Car Location']
Thrifty Car Rental,58,['Rental Car Location']
Zipcar Charles Hotel,58,['Rental Car Location']
Avis Rent A Car,58,['Rental Car Location']
Zipcar Mass Ave/Arlington,58,['Rental Car Location']
Budget Car Rental,58,['Rental Car Location']
Hertz Rent A Car,58,['Rental Car Location']
Alamo,58,['Rental Car Location']
Enterprise Rent-A-Car,58,['Rental Car Location']
Zipcar Tufts/Blakeley Hall,59,['Rental Car Location']
Zipcar Victoria St/Broadway,59,['Rental Car Location']
Zipcar Davis Sq/Holland St,59,['Rental Car Location']
Zipcar Elmwood St/Bike Path,59,['Rental Car Location']
Enterprise Rent-A-Car,60,['Rental Car Location']
Zipcar Broadway/Ellery,60,['Rental Car Location']
Zipcar Broadway/Ellsworth Ave,60,['Rental Car Location']
Thrifty Car Rental,60,['Rental Car Location']
Avis Rent A Car,60,['Rental Car Location']
Zipcar Charles Hotel,60,['Rental Car Location']
Zipcar 955 Mass Ave,60,['Rental Car Location']
Budget Car Rental,60,['Rental Car Location']
Zipcar,60,['Rental Car Location']
Hertz Rent A Car,60,['Rental Car Location']
Zipcar Centre St/Hancock,60,['Rental Car Location']
Zipcar Episcopal Divinity School,60,['Rental Car Location']
Zipcar Shepard St,60,['Rental Car Location']
Enterprise Rent-A-Car,61,['Rental Car Location']
Alamo,61,['Rental Car Location']
Zipcar,61,['Rental Car Location']
In and Out Car Rentals,61,['Rental Car Location']
Hertz Rent A Car,61,['Rental Car Location']
Zipcar,62,['Rental Car Location']
Zipcar Cambridge Center East,62,['Rental Car Location']
Zipcar Kendall Cinema,62,['Rental Car Location']
U-Haul Moving & Storage,62,"['Equipment Rental Service', 'Storage Facility', 'Rental Car Location']"
Enterprise Rent-A-Car,62,['Rental Car Location']
Avis Rent A Car,62,['Rental Car Location']
Budget Rent A Car,62,['Rental Car Location']
Zipcar Kendall Sq/Genzyme,62,['Rental Car Location']
Zipcar Third Square Apartments,62,['Rental Car Location']
Zipcar Archstone Boston Common,63,['Rental Car Location']
Zipcar,63,['Rental Car Location']
