Station Name,Latitude,Longitude,Number of Bikes,Station ID
Davis Square,42.396969,-71.123024,25,8826fb6a8e69e2fd45f22d8ee1c1a8de
Ames St at Main St,42.3625,-71.08822,19,d5d8f74a35cbfb15b544ff984c9f2307
Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,19,ad81792b682543ed97bf3188819c0b81
Lower Cambridgeport at Magazine St / Riverside Rd,42.357218503176526,-71.1138716340065,19,94ce3435b4ade8bcc9585e0887771ef5
Washington St at Rutland St,42.338514601785995,-71.07404083013535,27,05f50b281104f880804e0111662fecf8
Kenmore Square,42.348706,-71.097009,26,da1dc98bb8c74306eca078f7dac261a7
Seaport Hotel - Congress St at Seaport Ln,42.34881026188269,-71.04167744055303,19,a19e611442a8933b8f82774ce3966ace
Brigham Circle - Francis St at Huntington Ave,42.33462893055976,-71.10407917767589,15,96a2904d35d1297555d1d66c435ab29a
New Balance - 20 Guest St,42.35732921867706,-71.14673539996147,15,fa4feed48aece06cb19271e25dd799f3
Encore,42.39329263225162,-71.0724475979805,15,242c0790744799251df7beca0447c893
Commonwealth Ave at Kelton St,42.348358628170445,-71.13997217276847,15,ea78a31aab197a4a3785f99a4ffa3bc4
Ashmont T Stop,42.2856944,-71.0641389,15,462d0294297e73b55fe0832dff6fe85f
Mass Ave at Hadley/Walden,42.39120971915856,-71.12260755160605,19,3107dfaf0ecf92631330ea95572574e5
Roslindale Village - South St,42.287072,-71.127754,15,d6596e565ed51ac0304bc1f4a6021c96
Mattapan T Stop,42.267902,-71.093641,15,69444b8637e1511806664a38a0b7244b
Lesley University,42.38674802045056,-71.11901879310608,15,352815b0fd48c554845e499609a51347
30 Dane St,42.38100143038052,-71.10402522613185,15,bdfa3124016a1bb07fd174dd8cc0de68
699 Mt Auburn St,42.37500235137831,-71.14871613699506,24,31096eb4b1faaa246a35dfdd5a6492c8
Harvard Ave at Brainerd Rd,42.34953016890375,-71.13022770741735,15,42ba6b981a6676f8ffcf6e132ca1c01b
Gallivan Blvd at Adams St,42.28297567840305,-71.05466698296368,15,78972a7024b9bd851a61a1964abff721
